Date,Year,Month,SpawningMonth,Colony.ID,Bundle.ID,Egg.Rep,Area.mm2,Diameter.mm,vol.mm3
20170527,2017,May,1,117,B038,2,0.128,0.402,0.034015465
20170527,2017,May,1,117,B038,3,0.14,0.423,0.03962957
20170527,2017,May,1,117,B038,4,0.128,0.408,0.035561391
20170527,2017,May,1,117,B038,6,0.126,0.404,0.034525689
20170527,2017,May,1,117,B038,7,0.122,0.397,0.032761952
20170527,2017,May,1,117,B038,8,0.124,0.393,0.031781611
20170527,2017,May,1,117,B038,9,0.134,0.415,0.03742334
20170527,2017,May,1,117,B038,10,0.13,0.408,0.035561391
20170527,2017,May,1,117,B038,11,0.124,0.4,0.033510293
20170527,2017,May,1,117,B038,12,0.106,0.371,0.02673745
20170527,2017,May,1,117,B038,13,0.114,0.388,0.03058394
20170526,2017,May,1,116/332,B021,1,0.135,0.447,0.046764988
20170526,2017,May,1,116/332,B021,2,0.143,0.436,0.043396802
20170526,2017,May,1,116/332,B021,3,0.142,0.427,0.040764478
20170526,2017,May,1,116/332,B021,4,0.141,0.418,0.038240812
20170526,2017,May,1,116/332,B021,5,0.152,0.495,0.063505867
20170526,2017,May,1,116/332,B021,6,0.12,0.388,0.03058394
20170526,2017,May,1,116/332,B021,7,0.134,0.421,0.039070102
20170526,2017,May,1,116/332,B021,8,0.135,0.42,0.038792353
20170526,2017,May,1,116/332,B021,9,0.148,0.431,0.041920849
20170526,2017,May,1,116/332,B021,10,0.139,0.427,0.040764478
20170526,2017,May,1,116/332,B021,11,0.14,0.427,0.040764478
20170526,2017,May,1,116/332,B022,1,0.1472,0.43615,0.043441607
20170526,2017,May,1,116/332,B022,2,0.151,0.4341,0.042831927
20170526,2017,May,1,116/332,B022,3,0.1376,0.41756,0.038120178
20170526,2017,May,1,116/332,B022,4,0.1446,0.43754,0.043858275
20170526,2017,May,1,116/332,B022,5,0.1457,0.43386,0.042760925
