Egg,Sperm,Cross,Timepoint,Conical.ID,Larval.ID,Start,End,censor
B,B,BB,7,S20,3,20160712,20160713,0
B,B,BB,7,S20,4,20160712,20160713,0
B,B,BB,7,S20,5,20160712,20160713,0
B,B,BB,7,S20,6,20160712,20160713,0
B,B,BB,7,S20,7,20160712,20160713,0
B,B,BB,7,S20,8,20160712,20160713,0
B,B,BB,7,S20,9,20160712,20160713,0
B,B,BB,7,S20,10,20160712,20160713,0
B,B,BB,7,S20,11,20160712,20160713,1
B,B,BB,7,S21,1,20160712,20160713,0
B,B,BB,7,S21,2,20160712,20160713,0
B,B,BB,7,S21,3,20160712,20160713,0
B,B,BB,7,S21,4,20160712,20160713,0
B,B,BB,7,S21,5,20160712,20160713,0
B,B,BB,7,S21,6,20160712,20160713,0
B,B,BB,7,S21,7,20160712,20160713,0
B,B,BB,7,S21,8,20160712,20160713,0
B,B,BB,7,S21,9,20160712,20160713,0
B,B,BB,7,S21,10,20160712,20160713,1
B,NB,BNB,7,L1,1,20160712,20160713,0
B,NB,BNB,7,L1,2,20160712,20160713,0
B,NB,BNB,7,L1,3,20160712,20160713,0
B,NB,BNB,7,L1,4,20160712,20160713,0
B,NB,BNB,7,L1,5,20160712,20160713,0
B,NB,BNB,7,L1,6,20160712,20160713,0
B,NB,BNB,7,L1,7,20160712,20160713,1
B,NB,BNB,7,L1,8,20160712,20160713,1
B,NB,BNB,7,L1,9,20160712,20160713,1
B,NB,BNB,7,L1,10,20160712,20160713,1
B,NB,BNB,7,L12,1,20160712,20160713,0
B,NB,BNB,7,L12,2,20160712,20160713,0
B,NB,BNB,7,L12,3,20160712,20160713,0
B,NB,BNB,7,L12,4,20160712,20160713,0
B,NB,BNB,7,L12,5,20160712,20160713,0
B,NB,BNB,7,L12,6,20160712,20160713,0
B,NB,BNB,7,L12,7,20160712,20160713,0
B,NB,BNB,7,L12,8,20160712,20160713,0
B,NB,BNB,7,L12,9,20160712,20160713,1
B,NB,BNB,7,L12,10,20160712,20160713,1
B,NB,BNB,7,S17,1,20160712,20160713,0
B,NB,BNB,7,S17,2,20160712,20160713,0
B,NB,BNB,7,S17,3,20160712,20160713,0
B,NB,BNB,7,S17,4,20160712,20160713,0
B,NB,BNB,7,S17,5,20160712,20160713,0
B,NB,BNB,7,S17,6,20160712,20160713,0
B,NB,BNB,7,S17,7,20160712,20160713,0
B,NB,BNB,7,S17,8,20160712,20160713,0
B,NB,BNB,7,S17,9,20160712,20160713,0
B,NB,BNB,7,S17,10,20160712,20160713,0
B,NB,BNB,7,S19,1,20160712,20160713,0
B,NB,BNB,7,S19,2,20160712,20160713,0
B,NB,BNB,7,S19,3,20160712,20160713,0
B,NB,BNB,7,S19,4,20160712,20160713,0
B,NB,BNB,7,S19,5,20160712,20160713,0
B,NB,BNB,7,S19,6,20160712,20160713,0
B,NB,BNB,7,S19,7,20160712,20160713,0
B,NB,BNB,7,S19,8,20160712,20160713,0
B,NB,BNB,7,S19,9,20160712,20160713,0
B,NB,BNB,7,S19,10,20160712,20160713,1
B,NB,BNB,7,S23,1,20160712,20160713,0
B,NB,BNB,7,S23,2,20160712,20160713,0
B,NB,BNB,7,S23,3,20160712,20160713,0
B,NB,BNB,7,S23,4,20160712,20160713,0
B,NB,BNB,7,S23,5,20160712,20160713,0
B,NB,BNB,7,S23,6,20160712,20160713,0
B,NB,BNB,7,S23,7,20160712,20160713,0
B,NB,BNB,7,S23,8,20160712,20160713,0
B,NB,BNB,7,S23,9,20160712,20160713,1
B,NB,BNB,7,S23,10,20160712,20160713,1
NB,B,NBB,7,L11,1,20160712,20160713,0
NB,B,NBB,7,L11,2,20160712,20160713,0
NB,B,NBB,7,L11,3,20160712,20160713,0
NB,B,NBB,7,L11,4,20160712,20160713,0
NB,B,NBB,7,L11,5,20160712,20160713,0
NB,B,NBB,7,L11,6,20160712,20160713,0
NB,B,NBB,7,L11,7,20160712,20160713,0
NB,B,NBB,7,L11,8,20160712,20160713,0
NB,B,NBB,7,L11,9,20160712,20160713,0
NB,B,NBB,7,L11,10,20160712,20160713,0
NB,B,NBB,7,L2,1,20160712,20160713,0
NB,B,NBB,7,L2,2,20160712,20160713,0
NB,B,NBB,7,L2,3,20160712,20160713,0
NB,B,NBB,7,L2,4,20160712,20160713,0
NB,B,NBB,7,L2,5,20160712,20160713,0
NB,B,NBB,7,L2,6,20160712,20160713,0
NB,B,NBB,7,L2,7,20160712,20160713,0
NB,B,NBB,7,L2,8,20160712,20160713,0
NB,B,NBB,7,L2,9,20160712,20160713,0
NB,B,NBB,7,L2,10,20160712,20160713,0
NB,B,NBB,7,L2,11,20160712,20160713,1
NB,B,NBB,7,S18,1,20160712,20160713,0
NB,B,NBB,7,S18,2,20160712,20160713,0
NB,B,NBB,7,S18,3,20160712,20160713,0
NB,B,NBB,7,S18,4,20160712,20160713,0
NB,B,NBB,7,S18,5,20160712,20160713,0
NB,B,NBB,7,S18,6,20160712,20160713,0
NB,B,NBB,7,S18,7,20160712,20160713,0
